,Team,XGIndex,XGCIndex
0,Arsenal,2.433222969408287,2.756159117429461
1,Aston Villa,3.7834736216548284,2.8930894962792397
2,Brighton and Hove Albion,3.035789413378502,2.4428528280455666
3,Burnley,1.376504495404003,4.004268880611781
4,Chelsea,3.8679703699347376,2.2506635761213105
5,Crystal Palace,3.7318387798912074,2.7305070693378615
6,Everton,4.068912421984386,3.763379984557649
7,Fulham,2.335622857491402,5.361433899350824
8,Leicester City,4.478635540946678,4.004073379602856
9,Leeds United,3.7720242649658426,3.745617856422925
10,Liverpool,5.257984219078573,2.51519411149812
11,Manchester City,3.930509991521426,1.4334742328034162
12,Manchester United,4.688461108897092,1.55133607933441
13,Newcastle United,2.5756991480605373,4.033110005911236
14,Sheffield United,2.500172305788644,5.3745445226505275
15,Southampton,3.282788522551078,3.531072208566353
16,Tottenham Hotspur,2.624138191241435,2.99406661852301
17,West Bromwich Albion,1.7700980800875818,3.740913080160813
18,West Ham United,2.6120865517053393,4.1997376221090335
19,Wolverhampton Wanderers,2.7153993966347616,2.7767285454447967
